"id","groups_count","uniq_cities","triggers_words_count","photos_count","max_percent_photos_in_day","posts_count","max_percent_posts_in_day","posts_without_views","societies_flag","group_without_photo_count","bot_flag"
2493,29,0,0,20,15.000001,7,14.2857151,0,false,0,false
2494,141,0,0,150,6.66666698,5451,6,0,true,0,false
2495,244,0,0,565,7.50000048,1029,4,0,false,6,false
2496,173,0,4,512,5,1974,5,0,true,0,false
2497,151,0,0,94,5.31914902,100,2,0,false,1,false
1958,799,19,3,3102,29.4999981,9924,4,0,true,37,false
2498,100,0,0,6,16.6666679,12,8.33333397,0,false,0,false
2499,57,0,0,13,15.3846159,5,20,0,true,0,false
2500,199,0,0,4,25,1,100,0,false,0,false
2501,89,0,0,79,11.3924046,118,5,0,true,2,false
2502,696,0,1,2385,18,28779,14,0,false,22,false
2503,173,0,1,12,8.33333397,24,4.16666698,0,false,0,false
2504,359,0,1,0,0,0,0,0,true,6,false
2319,435,0,5,7,14.2857151,9,11.1111116,0,true,42,false
2505,198,0,1,22,13.636364,26,3.84615397,0,false,2,false
2506,751,0,3,1,100,0,0,0,false,28,true
2507,84,0,1,10,10,6,16.6666679,0,true,0,false
2508,299,0,0,1,100,32708,4,0,false,8,false
2509,52,0,0,4,25,0,0,0,true,0,false
2511,360,0,0,323,4.5,715,3,0,false,2,false
2512,177,0,0,17,11.7647057,1,100,0,false,0,false
2513,101,0,0,4,25,4,25,0,true,0,false
2514,174,0,0,16,12.5,19,10.5263157,0,true,1,false
2515,116,0,0,5,20,1,100,0,true,0,false
2464,38,0,0,1278,78,3,33.3333359,0,false,0,false
2510,90,0,0,8,100,0,0,0,false,0,false
2516,306,15,1,41,4.87804842,38,10.5263157,0,true,7,false
2517,331,0,5,154,2.59740257,415,3,0,false,23,false
2518,542,0,1,3,33.3333359,130,5,0,false,13,false
2519,131,0,1,232,4,44,4.5454545,0,true,0,false
2520,28,0,0,3,33.3333359,0,0,0,false,0,false
2521,256,15,0,100,7,24,8.33333397,0,true,0,false
2522,131,0,0,237,6,49,4.08163261,0,false,0,false
2523,44,0,0,27,22.2222233,27,18.5185184,0,true,0,false
2524,170,0,0,8,25,36,5.55555582,0,false,3,false
2525,204,0,3,32,15.625,30,6.66666698,0,false,3,false
2526,40,0,0,8,12.5,1189,5,0,false,0,false
2527,696,19,2,320,3.5,917,3,0,true,17,false
2528,195,0,0,73,20.547945,329,5,0,false,5,false
2529,80,0,0,15,13.333334,1,100,0,true,0,false
2530,119,0,0,106,7.54716969,72,2.77777791,0,true,0,false
2531,89,0,0,121,1.65289247,118,8,0,false,1,false
2532,64,0,0,16,6.25,6,16.6666679,0,false,0,false
2533,39,0,0,7,28.5714302,9,11.1111116,0,true,0,false
2534,245,34,2,82,13.4146347,135,3,0,false,0,false
2535,386,0,0,8,12.5,180,3,0,false,0,false
2182,503,0,1,127,8.66141796,64,4.6875,0,true,36,false
2536,42,0,0,41,12.1951218,4,25,0,false,0,false
2537,94,0,0,15,6.66666698,14,7.14285755,0,true,0,false
2538,176,0,0,18,11.1111116,7,14.2857151,0,false,4,false
2539,572,0,1,4,25,8,37.5,0,false,17,false
2540,150,0,4,58,3.4482758,70,2.85714293,0,false,0,false
2541,22,0,0,20,35,4,25,0,false,0,false
2542,137,0,0,50,8,3835,10,0,true,35,true
2543,69,0,0,10,10,230,8,0,false,0,false
2544,178,0,1,280,41.5,1480,6,0,false,0,false
2545,77,0,1,8,37.5,26,3.84615397,0,false,1,false
2546,400,0,0,11,9.090909,8059,4,0,true,4,false
2547,102,0,3,3,33.3333359,368,19,0,false,17,false
2548,49,0,0,5,20,11,27.272728,0,true,1,false
2549,296,0,1,74,9.4594593,72,4.16666698,0,false,2,false
2550,179,0,1,9,11.1111116,27,3.70370364,0,true,0,false
2551,49,0,0,7,14.2857151,17,5.88235283,0,false,0,false
2552,89,0,0,0,0,340,30.0000019,0,false,0,false
2553,152,0,0,27,3.70370364,15,13.333334,0,false,2,false
2554,52,0,0,8,12.5,18,5.55555582,0,false,1,false
2555,153,0,1,386,5,3328,4,0,false,0,false
2556,248,0,2,61,8.19672108,258,4,0,false,0,false
2557,63,0,0,90,5.55555582,61,4.91803265,0,true,0,false
2558,25,0,0,12,16.6666679,6,16.6666679,0,false,0,false
2559,309,0,0,16,6.25,16,6.25,0,true,1,false
2468,113,0,0,4,25,1,100,0,false,31,false
2560,73,0,0,4,25,1,100,0,false,3,false
2561,37,0,0,3,33.3333359,0,0,0,false,0,false
2562,219,0,1,631,8,284,3,0,true,0,false
2563,63,0,0,64,3.125,4,25,0,true,0,false
2564,276,0,0,79,7.59493637,1074,4,0,false,0,false
2565,158,0,0,102,31.372551,1,100,0,false,0,false
2566,69,0,0,133,5.26315784,1342,9,0,true,1,false
2567,32,0,0,2,50,0,0,0,false,0,false
2568,41,0,0,72,5.55555582,1214,3,1,false,0,false
2569,244,0,3,31,6.45161247,27,7.40740728,0,false,4,false
2570,203,0,0,30,6.66666698,32,6.25,0,true,5,false
2571,77,0,0,11,9.090909,13,7.69230795,0,true,0,false
2572,465,0,1,39,15.3846159,4439,4,0,false,4,false
2573,72,0,0,2,50,2,50,0,true,0,false
2574,33,0,0,1,100,2,50,0,false,0,false
2575,2073,42,15,1388,10.5,3246,4,0,false,159,true
2576,136,0,1,119,3.36134481,142,3,0,true,2,false
2090,331,12,3,45,4.44444466,58,3.4482758,0,true,25,false
2577,851,0,0,96,3.125,603,7,0,false,58,true
2578,10,0,0,4,25,3,33.3333359,0,false,1,false
2579,60,0,0,5,20,3,33.3333359,0,true,0,false
2580,31,0,0,9,33.3333359,7,14.2857151,0,true,0,false
2581,17,0,0,3,33.3333359,80,5,0,false,0,false
2582,65,0,0,5,20,1,100,0,false,0,false
2583,74,0,0,395,7.50000048,494,4,0,true,5,false
2584,167,0,3,11,9.090909,29,3.4482758,0,true,2,false
2585,195,0,0,1,100,2,50,1,false,1,false
2586,1012,11,7,370,20,1460,4,0,false,58,true
2587,25,0,0,66,16.6666679,49,4.08163261,0,false,0,false
2588,25,0,0,9,66.6666718,4,25,0,false,0,false
2589,114,0,0,124,7.25806427,142,5,0,true,1,false
2590,28,0,0,34,5.88235283,11,45.4545479,0,true,0,false
2591,127,0,0,4,25,2,50,0,true,1,false
2592,232,0,4,1929,9,6882,3,0,false,0,false
2593,120,0,0,2,50,2,50,0,false,1,false
2594,22,0,0,12,8.33333397,0,0,0,false,0,false
2595,272,0,1,7,14.2857151,13,15.3846159,0,false,4,false
2596,78,0,0,8,12.5,16,6.25,0,false,0,false
2597,121,0,1,92,14.130434,790,3,0,true,0,false
2598,101,0,0,7,14.2857151,12,8.33333397,0,false,1,false
2599,31,0,0,1,100,1,100,0,false,0,false
2600,118,0,1,13,7.69230795,61,3.27868843,0,false,1,false
2601,569,14,5,195,3.58974385,715,3,0,true,17,false
2602,117,0,0,9,22.2222233,9,22.2222233,0,true,0,false
2603,264,0,8,24,8.33333397,284,4,0,false,3,false
2604,146,0,0,28,7.14285755,182,2,0,false,0,false
2605,467,0,0,1,100,13,23.0769234,0,true,13,false
2606,99,0,0,21,4.76190472,30,13.333334,0,true,0,false
2607,101,0,2,12,8.33333397,1,100,0,true,0,false
2608,124,0,1,10,20,6,16.6666679,0,true,2,false
2609,99,0,1,4,25,6,33.3333359,0,false,1,false
2610,115,0,0,76,19.7368431,33,18.181818,0,false,0,false
2611,86,0,0,10,20,21,9.52380943,0,false,0,false
2612,61,0,0,8,12.5,15,20,0,true,0,false
2613,56,0,0,6,16.6666679,120,3,0,false,0,false
2614,340,0,0,79,6.32911396,976,4,0,false,9,false
2615,87,0,0,14,7.14285755,47,4.25531912,0,true,1,false
2616,104,0,0,48,8.33333397,384,16,0,true,0,false
2617,58,0,1,120,10,277,9,0,false,0,false
2618,226,0,0,8,12.5,15,13.333334,0,false,7,false
2619,52,0,1,6,16.6666679,19,10.5263157,0,false,0,false
2620,45,0,0,5,20,9,11.1111116,0,false,0,false
2621,93,0,0,4,50,2,50,0,false,0,false
2622,108,0,0,31,29.0322571,22,9.090909,0,true,0,false
2623,418,0,1,1,100,0,0,0,false,41,true
2624,109,0,0,4,25,6,16.6666679,0,false,0,false
2625,226,0,1,18,11.1111116,23,4.347826,0,true,8,false
2626,156,0,0,57,10.5263157,476,15.000001,0,false,1,false
2627,135,0,1,79,5.06329107,48,6.25,0,false,1,false
2628,511,11,3,43,4.65116262,7,14.2857151,0,true,48,true
2629,61,0,0,41,2.43902421,145,4,0,true,0,false
2630,58,0,0,4,50,0,0,0,true,1,false
2631,132,0,0,26,7.69230795,33,9.090909,0,false,1,false
2632,263,0,1,79,6.32911396,62,3.22580624,0,true,2,false
2633,123,0,0,3,33.3333359,0,0,0,false,0,false
2634,62,0,0,10,20,29,6.89655161,0,false,0,false
2635,403,0,2,17,5.88235283,39,5.1282053,0,true,0,false
2636,81,0,0,2,50,10,50,0,false,0,false
